Flight,Airline,Registration,Serial Number,Manufacturer,Type,Age,From,To,Height,Date,Location
"EXS59WJ","Jet2","G-DRTM","33981","Boeing","737-85P","15","BHX","N/A","28055","01/04/2022","Abingdon"
"FR6266","Ryanair","EI-ENL","35027","Boeing","737-8AS","12","EDI","BCN","37000","01/04/2022","Abingdon"
"EK213","Emirates","A6-EGH","35585","Boeing","777-31H(ER)","11","DXB","MIA","32000","01/04/2022","Abingdon"
"U21925","EasyJet","G-UZHU","8681","Airbus","A320-251N","4","MAN","CDG","26975","01/04/2022","Abingdon"
"AF1565","Air France","F-GTAJ","1476","Airbus","A321-212","22","BHX","CDG","26733","01/04/2022","Abingdon"
"U21989","EasyJet","G-EZBT","3036","Airbus","A319-111","15","MAN","OPO","34238","01/04/2022","Abingdon"
"LS605","Jet2","G-DRTE","28228","Boeing","737-8K5","23","EMA","AGP","28011","01/04/2022","Abingdon"
"UA953","United Airlines","N20904","34824","Boeing","787-8 Dreamliner","10","ORD","MUC","39000","01/04/2022","Abingdon"
"SSZ6","Specsavers Aviation","M-SPEC","FL-959","Beech","B300 King Air 350","2","EMA","GCI","20012","01/04/2022","Abingdon"
"U2862","EasyJet","G-EZDX","3754","Airbus","A319-111","14","INV","LGW","14043","01/04/2022","Abingdon"
"UA950","United Airlines","N12003","40935","Boeing","787-10 Dreamliner","4","IAD","BRU","35000","01/04/2022","Abingdon"
"AA717","American Airlines","N790AN","30251","Boeing","777-223(ER)","23","MUC","CLT","34000","01/04/2022","Abingdon"
"DE2198","Condor","D-ABUA","26991","Boeing","767-330(ER)","30","FRA","VRA","32025","01/04/2022","Abingdon"
"KL792","KLM","PH-BVS","61604","Boeing","777-306(ER)","6","GRU","AMS","37000","01/04/2022","Abingdon"
"QY384","DHL","D-ALEJ","1772","Airbus","A330-243F","6","BRU","MIA","34000","01/04/2022","Abingdon"
"DE2208","Condor","D-ABUE","26984","Boeing","767-330(ER)","30","FRA","PUJ","29988","01/04/2022","Abingdon"
"KL735","KLM","PH-BVI","35947","Boeing","777-306(ER)","11","AMS","CUR","32000","01/04/2022","Abingdon"
"KF144","CMA CGM Air Cargo","OO-AIR","1708","Airbus","A330-243F","7","BRU","GSP","34025","01/04/2022","Abingdon"
"DE2199","Condor","D-ABUA","26991","Boeing","767-330(ER)","30","VRA","FRA","37000","02/04/2022","Abingdon"
"DE2199","Condor","D-ABUA","26991","Boeing","767-330(ER)","30","VRA","FRA","37000","02/04/2022","Abingdon"
"AC833","Air Canada","C-GEGP","1015","Airbus","A330-343","13","BRU","YUL","37078","02/04/2022","Abingdon"
"MUSIC","Private Owner","M-USIC","5394","Gulfstream","G550","1","NCL","FAB","9553","02/04/2022","Abingdon"
"SN501","Brussels Airlines","OO-SFD","959","Airbus","A330-342","15","BRU","JFK","36000","02/04/2022","Abingdon"
"UA998","United Airlines","N12012","60145","Boeing","787-10 Dreamliner","3","BRU","EWR","33975","02/04/2022","Abingdon"
"FR908","Ryanair","EI-DLK","33592","Boeing","737-8AS","17","STN","ORK","28088","02/04/2022","Abingdon"
"DL199","Delta Air Lines","N410DZ","1990","Airbus","A330-941","1","CDG","MSP","35000","02/04/2022","Abingdon"
"EXS94PF","Jet2","G-JZHS","63149","Boeing","737-8AS","6","BHX","N/A","29230","02/04/2022","Abingdon"
"KL735","KLM","PH-BVI","35947","Boeing","777-306(ER)","11","AMS","CUR","34000","02/04/2022","Abingdon"
"UA973","United Airlines","N30913","35879","Boeing","787-8 Dreamliner","8","BRU","ORD","36000","02/04/2022","Abingdon"
"RRR2808","Royal Air Force (RAF)","ZZ336","1363","Airbus","KC2 Voyager","1","BZZ","CPH","29421","02/04/2022","Abingdon"
"BY1677","TUI","G-TAWX","44272","Boeing","737-8K5","9","INN","DUB","36025","02/04/2022","Abingdon"
"FR9429","Ryanair","EI-EBR","37530","Boeing","737-8AS","14","BGY","DUB","38000","02/04/2022","Abingdon"
"SI555","Blue Islands","G-ISLM","0762","ATR","72-500","15","EMA","JER","18025","02/04/2022","Abingdon"
"EK213","Emirates","A6-EPV","42341","Boeing","777-31H(ER)","6","DXB","MIA","34000","03/04/2022","Abingdon"
"LS811","Jet2","G-DRTZ","33557","Boeing","737-8AS","19","MAN","GVA","35072","03/04/2022","Abingdon"
"LS717","Jet2","G-JZBC","63160","Boeing","737-8MG","5","EDI","PMI","39000","03/04/2022","Abingdon"
"U21947","EasyJet","G-EZTG","3946","Airbus","A320-214","14","MAN","GVA","33996","03/04/2022","Abingdon"
"LS1231","Jet2","G-DRTG","33020","Boeing","737-8BK","16","BHX","GHB","30344","03/04/2022","Abingdon"
"KF132","CMA CGM Air Cargo","OO-CGM","1584","Airbus","A330-243F","8","ATL","LGG","36151","03/04/2022","Abingdon"
"LH976","Lufthansa","D-AIUP","6807","Airbus","A320-214","7","FRA","DUB","38000","03/04/2022","Abingdon"
"AC872","Air Canada","C-FRAM","35250","Boeing","777-333(ER)","14","YYZ","CDG","37000","03/04/2022","Abingdon"
"EK241","Emirates","A6-EUL","224","Airbus","A380-861","6","DXB","YYZ","36000","03/04/2022","Abingdon"
"LS791","Jet2","G-JZHE","30390","Boeing","737-8K2","22","MAN","FCO","36044","03/04/2022","Abingdon"
"FR3233","Ryanair","EI-DPI","33608","Boeing","737-8AS","16","AGP","MAN","40000","03/04/2022","Abingdon"
"EI230","Aer Lingus","EI-DVM","4634","Airbus","A320-214","12","DUB","LGW","14975","03/04/2022","Abingdon"
"LS835","Jet2","G-LSAC","25488","Boeing","757-23A","30","MAN","GNB","33757","03/04/2022","Abingdon"
"AF83","Air France","F-GSQK","32845","Boeing","777-328(ER)","17","SFO","CDG","37000","03/04/2022","Abingdon"
"EXS7U","Jet2","G-GDFK","28572","Boeing","737-36N","24","LBA","N/A","33000","03/04/2022","Abingdon"
"TOM7FK","TUI","G-OBYK","29617","Boeing","767-38A(ER)","24","MAN","TRN","40000","03/04/2022","Abingdon"
"FR5705","Ryanair","9H-QBB","61576","Boeing","737-8AS","7","HHN","KIR","40000","03/04/2022","Abingdon"
"KL1050","KLM","PH-EZF","19000304","Embraer","ERJ-190STD","14","BRS","AMS","29000","03/04/2022","Abingdon"
"FR5964","Ryanair","SP-RSD","44845","Boeing","737-8AS","5","BUD","SNN","40000","03/04/2022","Abingdon"
"KL787","KLM","PH-AOA","0682","Airbus","A330-203","18","AMS","SXM","32000","03/04/2022","Abingdon"
"EI631","Aer Lingus","EI-DVN","4715","Airbus","A320-214","12","BRU","DUB","36025","03/04/2022","Abingdon"
"SQ23","Singapore Airlines","9V-SGC","230","Airbus","A350-941","4","JFK","SIN","37000","03/04/2022","Abingdon"
"AA717","American Airlines","N784AN","29588","Boeing","777-223(ER)","23","MUC","CLT","34000","03/04/2022","Abingdon"
"N8823","National Airlines","N919CA","25302","Boeing","747-428(BCF)","31","LGG","N/A","32000","03/04/2022","Abingdon"
"KL791","KLM","PH-BVR","61603","Boeing","777-306(ER)","7","AMS","GRU","30000","03/04/2022","Abingdon"
"KL755","KLM","PH-BQN","32720","Boeing","777-206(ER)","17","AMS","UIO","31950","03/04/2022","Abingdon"
"XC8132","AirExplore","OM-FEX","28213","Boeing","737-8Q8","24","MAN","DLM","33082","03/04/2022","Abingdon"
"KL758","KLM","PH-BVD","35979","Boeing","777-306(ER)","13","PTY","AMS","37000","03/04/2022","Abingdon"
"LH440","Lufthansa","D-ABYL","37836","Boeing","747-830","9","FRA","IAH","34000","03/04/2022","Abingdon"
"4Y10","Eurowings Discover","D-AXGF","0616","Airbus","A330-203","19","FRA","CUN","34000","03/04/2022","Abingdon"
"DL115","Delta Air Lines","N815NW","0817","Airbus","A330-323","16","CDG","SEA","33000","03/04/2022","Abingdon"
"AC833","Air Canada","C-GFUR","0344","Airbus","A330-343","22","BRU","YUL","36000","03/04/2022","Abingdon"
"DL199","Delta Air Lines","N412DX","1994","Airbus","A330-941","1","CDG","MSP","35000","03/04/2022","Abingdon"
"LH444","Lufthansa","D-AIKL","0905","Airbus","A330-343","15","FRA","ATL","34000","03/04/2022","Abingdon"
"AF374","Air France","F-GSPZ","32310","Boeing","777-228(ER)","20","CDG","YVR","34000","03/04/2022","Abingdon"
"KL765","KLM","PH-BVS","61604","Boeing","777-306(ER)","6","BON","AMS","37000","03/04/2022","Abingdon"
"GB956","DHL","N362CM","24316","Boeing","767-338(ER)(BDSF)","34","BRU","CVG","30000","03/04/2022","Abingdon"
"ABR481","Amazon Air","EI-DAC","29938","Boeing","737-8AS(BCF)","20","EMA","CGN","32250","03/04/2022","Abingdon"
"U21887","EasyJet","G-EZDL","3569","Airbus","A319-111","15","MAN","MUC","35000","03/04/2022","Abingdon"
"SV23","Saudia","HZ-AK43","62763","Boeing","777-368(ER)","5","RUH","JFK","34000","03/04/2022","Abingdon"
"DL107","Delta Air Lines","N860NW","0778","Airbus","A330-223","16","FRA","JFK","36000","03/04/2022","Abingdon"
"BY2730","TUI","G-TUKN","37252","Boeing","737-8K5","12","MAN","PFO","33600","03/04/2022","Abingdon"
"UA973","United Airlines","N45905","34825","Boeing","787-8 Dreamliner","11","BRU","ORD","37975","03/04/2022","Abingdon"
"SN515","Brussels Airlines","OO-SFD","959","Airbus","A330-342","15","BRU","IAD","36000","03/04/2022","Abingdon"
"UA135","United Airlines","N685UA","33467","Boeing","767-3CB(ER)","20","ZRH","EWR","34000","03/04/2022","Abingdon"
"LO6286","LOT","SP-LSB","38084","Boeing","787-9 Dreamliner","4","PUJ","WAW","41000","03/04/2022","Abingdon"
"3S424","DHL","D-AALM","66082","Boeing","777-F","3","FRA","ATL","32000","03/04/2022","Abingdon"
"LH462","Lufthansa","D-ABYC","37828","Boeing","747-830","10","FRA","MIA","32000","03/04/2022","Abingdon"
"KF111","CMA CGM Air Cargo","OO-CGM","1584","Airbus","A330-243F","8","LGG","ORD","38000","03/04/2022","Abingdon"
"FR1998","Ryanair","EI-EFE","37533","Boeing","737-8AS","13","BHX","PGF","30250","03/04/2022","Abingdon"
"LH430","Lufthansa","D-ABYK","37835","Boeing","747-830","9","FRA","ORD","34000","03/04/2022","Abingdon"
"KL713","KLM","PH-BVV","66888","Boeing","777-300(ER)","2","AMS","PBM","34000","03/04/2022","Abingdon"
"AA705","American Airlines","N761AJ","31478","Boeing","777-223(ER)","21","FRA","CLT","34025","03/04/2022","Abingdon"
"AC887","Air Canada","C-FGEO","37180","Boeing","787-9 Dreamliner","7","VIE","YYZ","35975","03/04/2022","Abingdon"
"DL141","Delta Air Lines","N172DZ","29691","Boeing","767-332(ER)","24","BRU","JFK","32000","03/04/2022","Abingdon"
"LH400","Lufthansa","D-ABYF","37830","Boeing","747-830","10","FRA","JFK","34000","03/04/2022","Abingdon"
"KL751","KLM","PH-BQH","32705","Boeing","777-206(ER)","18","GYE","AMS","39000","03/04/2022","Abingdon"
"OS89","Austrian Airlines","OE-LAZ","30331","Boeing","767-3Z9(ER)","24","VIE","EWR","34025","03/04/2022","Abingdon"
"OS95","Austrian Airlines","OE-LPF","28692","Boeing","777-2Q8(ER)","21","VIE","CUN","32000","03/04/2022","Abingdon"
"AF1669","Air France","F-HBLG","19000254","Embraer","ERJ-190STD","14","MAN","CDG","31000","03/04/2022","Abingdon"
"LS285","Jet2","G-GDFG","28658","Boeing","737-36Q","26","LBA","GVA","33000","03/04/2022","Abingdon"
"UA961","United Airlines","N14001","40936","Boeing","787-10 Dreamliner","5","FRA","EWR","34000","03/04/2022","Abingdon"
"UA951","United Airlines","N12003","40935","Boeing","787-10 Dreamliner","4","BRU","IAD","34000","03/04/2022","Abingdon"
"DL259","Delta Air Lines","N402DX","1920","Airbus","A330-941","4","AMS","BOS","34000","03/04/2022","Abingdon"
"GB1957","ABX Air","N219CY","24358","Boeing","767-383(ER)(BDSF)","33","CVG","BRU","32100","03/04/2022","Abingdon"
"UA952","United Airlines","N27903","34823","Boeing","787-8 Dreamliner","10","MUC","ORD","35975","03/04/2022","Abingdon"
"OR703","TUI","PH-TFL","37228","Boeing","787-8 Dreamliner","8","AMS","PUJ","38000","03/04/2022","Abingdon"
"SN501","Brussels Airlines","OO-SFH","0679","Airbus","A330-342","18","BRU","JFK","34000","03/04/2022","Abingdon"
"EI151","Aer Lingus","EI-DVI","3501","Airbus","A320-214","15","LHR","DUB","21117","07/04/2022","Abingdon"
"FR112","Ryanair","EI-EKE","35023","Boeing","737-8AS","13","DUB","LGW","15010","07/04/2022","Abingdon"
"FR4458","Ryanair","EI-EKG","35021","Boeing","737-8AS","13","EMA","AGP","32260","07/04/2022","Abingdon"
"EI232","Aer Lingus","EI-DVK","4572","Airbus","A320-214","12","DUB","LGW","15000","09/04/2022","Abingdon"
"DL47","Delta Air Lines","N836MH","29709","Boeing","767-432(ER)","22","AMS","JFK","30023","09/04/2022","Abingdon"
"U27025","EasyJet","G-EZDR","3683","Airbus","A319-111","14","LPL","JER","29975","09/04/2022","Abingdon"
"UA998","United Airlines","N12004","60139","Boeing","787-10 Dreamliner","4","BRU","EWR","33977","09/04/2022","Abingdon"
"AC833","Air Canada","C-GKUG","1149","Airbus","A330-343","12","BRU","YUL","34000","09/04/2022","Didcot"
"GBHFK","Private Owner","G-BHFK","28-7615088","Piper","PA-28-151","47","N/A","N/A","2100","09/04/2022","Didcot"
"GFTAC","Private Owner","G-FTAC","28-8416082","Piper","PA-28-161","1","ESH","N/A","2200","09/04/2022","Didcot"
"FR908","Ryanair","EI-DWB","36075","Boeing","737-8AS","15","STN","ORK","23262","09/04/2022","Didcot"
"GAXLS","Private Owner","G-AXLS","86","Jodel","DR105","64","N/A","N/A","2200","09/04/2022","Didcot"
"SN501","Brussels Airlines","OO-SFB","0915","Airbus","A330-342","15","BRU","JFK","36000","09/04/2022","Didcot"
"KL713","KLM","PH-BVV","66888","Boeing","777-300(ER)","2","AMS","PBM","32000","09/04/2022","Didcot"
"BA514","British Airways","G-TTNB","8139","Airbus","A320-251N","23","LHR","PMI","2859","09/04/2022","Heathrow"
"BA207","British Airways","G-YMMP","30315","Boeing","777-236(ER)","21","LHR","MIA","3304","09/04/2022","Heathrow"
"AF1681","Air France","F-GKXL","2705","Airbus","A320-214","17","LHR","CDG","2781","09/04/2022","Heathrow"
"BA195","British Airways","G-ZBKJ","38626","Boeing","787-9 Dreamliner","6","LHR","IAH","1025","09/04/2022","Heathrow"
"BA903","British Airways","G-EUUC","1696","Airbus","A320-232","21","FRA","LHR","1539","09/04/2022","Heathrow"
"LS531","Jet2","G-GDFP","28177","Boeing","737-8Z9","25","NCL","PMI","37000","11/04/2022","Abingdon"
"QNR25B","Queen Air","OK-PBK","525B-0215","Cessna","525B CitationJet CJ3","15","OSR","OXF","2648","11/04/2022","Abingdon"
"FR6031","Ryanair","EI-EXE","40321","Boeing","737-8AS","10","EMA","PMI","30692","11/04/2022","Abingdon"
"LS831","Jet2","G-LSAC","25488","Boeing","757-23A","30","MAN","PMI","34000","11/04/2022","Abingdon"
"LS775","Jet2","G-JZHJ","63144","Boeing","737-8MG","6","EDI","ALC","37000","11/04/2022","Abingdon"
"AC870","Air Canada","C-FNNQ","43251","Boeing","777-333(ER)","9","YUL","CDG","37000","11/04/2022","Abingdon"
"FR6840","Ryanair","EI-DCZ","33815","Boeing","737-8AS","18","DUB","NAP","37000","11/04/2022","Abingdon"
"FR112","Ryanair","EI-DCO","33809","Boeing","737-8AS","18","DUB","LGW","15000","11/04/2022","Abingdon"
"LS803","Jet2","G-JZBO","64439","Boeing","737-8MG","4","MAN","BCN","37000","11/04/2022","Abingdon"
"MP7762","KLM Cargo","PH-CKB","33695","Boeing","747-406F(ER)","20","MIA","AMS","35000","11/04/2022","Abingdon"
"KLM168","KLM","PH-BVD","35979","Boeing","777-306(ER)","13","ATL","AMS","35000","11/04/2022","Abingdon"
"LX14","Swiss","HB-JMC","0546","Airbus","A340-313","19","ZRH","JFK","34000","11/04/2022","Abingdon"
"GBNXM","Private Owner","G-BNXM","18-4019","Piper","L-21B Super Cub","69","OXF","N/A","2562","13/04/2022","Abingdon"
"GGDKR","Private Owner","G-GDKR","1623","Robin","DR400/140B","40","CVT","N/A","3000","13/04/2022","Abingdon"
"U26508","EasyJet","YL-LDI","04323","Airbus","A320-232","12","RAK","LGW","537","14/04/2022","Gatwick"
"U28635","EasyJet","OE-LQQ","3845","Airbus","A319-111","14","LGW","PMI","0","14/04/2022","Gatwick"
"EZY27HK","EasyJet","G-EZTD","3909","Airbus","A320-214","14","LGW","N/A","0","14/04/2022","Gatwick"
"U26454","EasyJet","YL-LCU","01762","Airbus","A320-214","21","ACE","LGW","822","14/04/2022","Gatwick"
"EI249","Aer Lingus","EI-DVK","4572","Airbus","A320-214","12","LGW","DUB","0","14/04/2022","Gatwick"
"U28332","EasyJet","G-EZAY","2827","Airbus","A319-111","16","CDG","LGW","1287","14/04/2022","Gatwick"
"U28032","EasyJet","G-EZWI","5592","Airbus","A320-214","10","ZRH","LGW","916","14/04/2022","Gatwick"
"U28884","EasyJet","G-EZTB","3843","Airbus","A320-214","14","AMS","LGW","1132","14/04/2022","Gatwick"
"FR9853","Ryanair","EI-EFD","35011","Boeing","737-8AS","13","LGW","ORK","0","14/04/2022","Gatwick"
"U28340","EasyJet","G-EZFW","4380","Airbus","A319-111","13","TLS","LGW","1200","14/04/2022","Gatwick"
"U2890","EasyJet","G-EZDM","3571","Airbus","A319-111","15","GLA","LGW","7862","14/04/2022","Gatwick"
"U2842","EasyJet","G-EZFR","4125","Airbus","A319-111","13","BFS","LGW","674","14/04/2022","Gatwick"
"U28086","EasyJet","G-EZOI","6562","Airbus","A320-214","8","ATH","LGW","1122","14/04/2022","Gatwick"
"VY6625","Vueling","EC-MEA","6400","Airbus","A320-232","8","MAH","LGW","965","14/04/2022","Gatwick"
"U2818","EasyJet","G-EZRT","8162","Airbus","A320-214","5","EDI","LGW","7000","14/04/2022","Gatwick"
"U28906","EasyJet","G-EZPD","7040","Airbus","A320-214","7","GIB","LGW","835","14/04/2022","Gatwick"
"U28346","EasyJet","G-EZAG","2727","Airbus","A319-111","17","HAM","LGW","430","14/04/2022","Gatwick"
"U28485","EasyJet","G-EZBR","3088","Airbus","A319-111","16","GVA","LGW","408","14/04/2022","Gatwick"
"3V4717","ASL Airlines","EI-STK","25052","Boeing","737-448(SF)","32","EDI","CDG","33050","14/04/2022","Gatwick"
"3V4717","ASL Airlines","EI-STK","25052","Boeing","737-448(SF)","32","EDI","CDG","33050","14/04/2022","Gatwick"
"W65785","Wizz Air","HA-LZJ","10616","Airbus","A321-271NX","1","LGW","MXP","0","14/04/2022","Gatwick"
"U28506","EasyJet","G-UZLC","9014","Airbus","A320-251N","4","TFS","LGW","747","14/04/2022","Gatwick"
"U28088","EasyJet","G-UZMG","9204","Airbus","A321-251NX","4","ATH","LGW","0","14/04/2022","Gatwick"
"U28282","EasyJet","G-EZFI","3888","Airbus","A319-111","14","MAD","LGW","3221","14/04/2022","Gatwick"
"U26470","EasyJet","G-EZWZ","6353","Airbus","A320-214","8","VCE","LGW","2360","14/04/2022","Gatwick"
"U28438","EasyJet","G-EZUL","5019","Airbus","A320-214","11","BSL","LGW","2506","14/04/2022","Gatwick"
"W64400","Wizz Air","HA-LTG","8644","Airbus","A321-231","4","LGW","SOF","8","14/04/2022","Gatwick"
"U28792","EasyJet","G-UZMH","9214","Airbus","A321-251NX","3","RHO","LGW","57","14/04/2022","Gatwick"
"W95722","Wizz Air","G-WUKC","8169","Airbus","A321-231","5","PHI","LGW","0","14/04/2022","Gatwick"
"U28238","EasyJet","G-EZDA","3413","Airbus","A319-111","15","PSA","LGW","133","14/04/2022","Gatwick"
"W62221","Wizz Air","HA-LZA","10440","Airbus","A321-271NX","1","BUD","LGW","0","14/04/2022","Gatwick"
"U28926","EasyJet","G-UZMD","8421","Airbus","A321-251NX","4","FAO","LGW","0","14/04/2022","Gatwick"
"U28922","EasyJet","G-EZAW","2812","Airbus","A319-111","16","FAO","LGW","972","14/04/2022","Gatwick"
"6Y9003","SmartLynx","YL-LCT","02233","Airbus","A320-214","18","EMA","LGW","973","14/04/2022","Gatwick"
"U28236","EasyJet","G-EZAO","2769","Airbus","A319-111","17","PSA","LGW","2011","14/04/2022","Gatwick"
"BA2732","British Airways","G-GATK","1902","Airbus","A320-232","21","LGW","ACE","0","15/04/2022","Gatwick"
"U28021","EasyJet","G-EZTC","3871","Airbus","A320-214","14","LGW","BIO","0","15/04/2022","Gatwick"
"BA2036","British Airways","G-VIIR","29322","Boeing","777-236(ER)","24","MCO","LGW","0","15/04/2022","Gatwick"
"BA2204","British Airways","G-YMMC","30304","Boeing","777-236","23","PUJ","LGW","0","15/04/2022","Gatwick"
"U28701","EasyJet","G-UZLK","9504","Airbus","A320-251N","3","LGW","TFS","711","15/04/2022","Gatwick"
"U28517","EasyJet","G-EZRY","8344","Airbus","A320-214","29","LGW","DBV","0","15/04/2022","Gatwick"
"U28761","EasyJet","G-EZTX","4286","Airbus","A320-214","13","LGW","HER","0","15/04/2022","Gatwick"
"U28179","EasyJet","G-EZUT","5113","Airbus","A320-214","11","LGW","BGY","0","15/04/2022","Gatwick"
"U28681","EasyJet","G-UZLC","9014","Airbus","A320-251N","4","LGW","ACE","0","15/04/2022","Gatwick"
"U28020","EasyJet","OE-IJY","6541","Airbus","A320-214","8","BOD","LGW","7982","15/04/2022","Gatwick"
"U28121","EasyJet","G-EZTJ","3979","Airbus","A320-214","13","LGW","BER","0","15/04/2022","Gatwick"
"U28901","EasyJet","G-EZBR","3088","Airbus","A319-111","16","LGW","GIB","0","15/04/2022","Gatwick"
"U28463","EasyJet","HB-JXK","7779","Airbus","A320-214","6","GVA","LGW","246","15/04/2022","Gatwick"
"U2891","EasyJet","G-EZWB","5224","Airbus","A320-214","11","LGW","JER","0","15/04/2022","Gatwick"
"VY6008","Vueling","EC-MEA","6400","Airbus","A320-232","8","LGW","BCN","0","15/04/2022","Gatwick"
"BY578","TUI","G-TUMB","44595","Boeing","737 MAX 8","4","LGW","BVC","0","15/04/2022","Gatwick"
"U28265","EasyJet","G-EZGO","4785","Airbus","A319-111","11","LGW","CPH","0","15/04/2022","Gatwick"
"BY93","TUI","G-TUIN","64293","Boeing","787-9 Dreamliner","3","CUN","LGW","8604","15/04/2022","Gatwick"
"U28571","EasyJet","G-EZAU","2795","Airbus","A319-111","17","LGW","BCN","0","15/04/2022","Gatwick"
"W95723","Wizz Air","G-WUKN","10333","Airbus","A321-271NX","2","LGW","AGP","0","15/04/2022","Gatwick"
"U28201","EasyJet","G-EZAG","2727","Airbus","A319-111","17","LGW","LIN","0","15/04/2022","Gatwick"
"U28604","EasyJet","OE-IJW","7580","Airbus","A320-214","6","AGP","LGW","241","15/04/2022","Gatwick"
"U2800","EasyJet","G-EZUK","4749","Airbus","A320-214","12","EDI","LGW","361","15/04/2022","Gatwick"
"BA2842","British Airways","G-GATJ","1509","Airbus","A320-232","21","LGW","CTA","0","15/04/2022","Gatwick"
"U28895","EasyJet","G-EZDM","3571","Airbus","A319-111","15","LGW","RAK","0","15/04/2022","Gatwick"
"U28933","EasyJet","G-UZMH","9214","Airbus","A321-251NX","3","LGW","PFO","0","15/04/2022","Gatwick"
"U28831","EasyJet","G-EZTD","3909","Airbus","A320-214","14","LGW","BJV","0","15/04/2022","Gatwick"
"BY97","TUI","G-TUII","37230","Boeing","787-8 Dreamliner","8","MBJ","LGW","0","15/04/2022","Gatwick"
"U28135","EasyJet","G-UZHI","8304","Airbus","A320-251N","4","LGW","FNC","0","15/04/2022","Gatwick"
"B643","JetBlue Airways","N4022J","10303","Airbus","A321-271NX","3","JFK","LGW","0","15/04/2022","Gatwick"
"U28427","EasyJet","G-UZMA","8314","Airbus","A321-251NX","5","LGW","BUD","0","15/04/2022","Gatwick"
"U28113","EasyJet","G-EZTM","4014","Airbus","A320-214","14","LGW","ZRH","0","15/04/2022","Gatwick"
"GR600","Aurigny Air Services","G-NSEY","19000671","Embraer","ERJ-195STD","9","GCI","LGW","0","15/04/2022","Gatwick"
"D83510","Norwegian","SE-RRT","40867","Boeing","737-8JP","12","CPH","LGW","0","15/04/2022","Gatwick"
"U28703","EasyJet","G-UZHJ","8338","Airbus","A320-251N","5","LGW","TFS","0","15/04/2022","Gatwick"
"W95731","Wizz Air","G-WUKS","10891","Airbus","A321-271NX","1","LGW","FAO","0","15/04/2022","Gatwick"
"U2872","EasyJet","G-EZDX","3754","Airbus","A319-111","14","ABZ","LGW","0","15/04/2022","Gatwick"
"FR120","Ryanair","EI-DCR","33811","Boeing","737-8AS","18","DUB","LGW","0","15/04/2022","Gatwick"
"BA2511","British Airways","G-EUYJ","4464","Airbus","A320-232","12","GLA","LGW","0","15/04/2022","Gatwick"
"U28549","EasyJet","G-EZWB","5224","Airbus","A320-214","11","LGW","RMU","0","15/04/2022","Gatwick"
"AT650","Royal Air Maroc","CN-RNU","28987","Boeing","737-8B6","21","OUD","ORY","38000","18/04/2022","Casa Pedro"
"AME4508","Spanish Air Force","T.24-01","1694","Airbus","A330-202","7","N/A","N/A","40000","18/04/2022","Casa Pedro"
"FR2296","Lauda Europe","9H-LOR","03206","Airbus","A320-214","15","LPA","PMI","36000","18/04/2022","Casa Pedro"
"NT5101","Binter Canarias","EC-NEX","19020023","Embraer","E195-E2","3","PMI","LPA","37000","18/04/2022","Casa Pedro"
"FR5676","Lauda Europe","9H-LMI","05081","Airbus","A320-214","11","PMI","AGP","37000","18/04/2022","Casa Pedro"
"TVS97J","Smartwings","OK-JRT","680-0558","Cessna","680 Citation Sovereign+","7","AGP","N/A","36000","18/04/2022","Casa Pedro"
"FR7094","Ryanair","EI-HGV","62329","Boeing","737 MAX 8-200","1","DUB","RMU","0","21/04/2022","Murcia Corvera International Airport"
"3O387","Air Arabia","CN-NMN","6365","Airbus","A320-214","8","OUD","RMU","0","21/04/2022","Murcia Corvera International Airport"
"FR8027","Ryanair","EI-EFN","37538","Boeing","737-8AS","13","RMU","STN","0","21/04/2022","Murcia Corvera International Airport"
"U28553","EasyJet","G-UZMG","9204","Airbus","A321-251NX","4","LGW","RMU","0","21/04/2022","Murcia Corvera International Airport"
"3O388","Air Arabia","CN-NMN","6365","Airbus","A320-214","8","RMU","OUD","0","21/04/2022","Murcia Corvera International Airport"
"FR7095","Ryanair","EI-HGV","62329","Boeing","737 MAX 8-200","1","RMU","DUB","0","21/04/2022","Murcia Corvera International Airport"
"U28554","EasyJet","G-UZMG","9204","Airbus","A321-251NX","4","RMU","LGW","0","21/04/2022","Murcia Corvera International Airport"
"EI403","Aer Lingus","EI-DEI","2374","Airbus","A320-214","18","FCO","DUB","36000","21/04/2022","Abingdon"
"OR703","TUI","EC-NTX","1597","Airbus","A330-343","8","BON","AMS","39000","21/04/2022","Abingdon"
"UA988","United Airlines","N12010","40926","Boeing","787-10 Dreamliner","3","FRA","IAD","35975","21/04/2022","Abingdon"
"U21811","EasyJet","G-EZDL","3569","Airbus","A319-111","15","MAN","BSL","33000","21/04/2022","Abingdon"
"BID42B","BinAir","D-CNAG","DC-893B","Swearingen Aircraft","Fairchild Swearingen Metroliner","28","MAN","BGY","24642","21/04/2022","Abingdon"
"LH499","Lufthansa","D-ABYD","37829","Boeing","747-830","10","MEX","FRA","37000","21/04/2022","Abingdon"
"LH426","Lufthansa","D-AIGL","0135","Airbus","A340-313","26","FRA","PHL","32000","21/04/2022","Abingdon"
"AF72","Air France","F-GZND","35543","Boeing","777-328(ER)","14","CDG","LAX","32000","21/04/2022","Abingdon"
"LH402","Lufthansa","D-ABYG","37831","Boeing","747-830","10","FRA","EWR","34000","21/04/2022","Abingdon"
"KL765","KLM","PH-BVR","61603","Boeing","777-306(ER)","7","AMS","AUA","34000","21/04/2022","Abingdon"
